	Rhodotorula_mucilaginosa_TFCN_17-334Y-5.cds.fa
GF00000042	TFCN17334Y5_007436-T1, TFCN17334Y5_000227-T1, TFCN17334Y5_001474-T1, TFCN17334Y5_007248-T1, TFCN17334Y5_006525-T1, TFCN17334Y5_013058-T1, TFCN17334Y5_002819-T1, TFCN17334Y5_013568-T1, TFCN17334Y5_003316-T1
GF00000043	TFCN17334Y5_010582-T1, TFCN17334Y5_010614-T1, TFCN17334Y5_003893-T1, TFCN17334Y5_010583-T1, TFCN17334Y5_003926-T1, TFCN17334Y5_003894-T1, TFCN17334Y5_010613-T1, TFCN17334Y5_003928-T1, TFCN17334Y5_003927-T1
GF00000044	TFCN17334Y5_013131-T1, TFCN17334Y5_003198-T1, TFCN17334Y5_004155-T1, TFCN17334Y5_009618-T1, TFCN17334Y5_002190-T1, TFCN17334Y5_002038-T1, TFCN17334Y5_010708-T1, TFCN17334Y5_004896-T1, TFCN17334Y5_012154-T1
GF00000045	TFCN17334Y5_011548-T1, TFCN17334Y5_006962-T1, TFCN17334Y5_013351-T1, TFCN17334Y5_003539-T1, TFCN17334Y5_008109-T1, TFCN17334Y5_010355-T1, TFCN17334Y5_003706-T1, TFCN17334Y5_003885-T1, TFCN17334Y5_003886-T1
GF00000046	TFCN17334Y5_006686-T1, TFCN17334Y5_008339-T1, TFCN17334Y5_012727-T1, TFCN17334Y5_009659-T1, TFCN17334Y5_014347-T1, TFCN17334Y5_009126-T1, TFCN17334Y5_009827-T1, TFCN17334Y5_006688-T1, TFCN17334Y5_009128-T1
GF00000047	TFCN17334Y5_007119-T1, TFCN17334Y5_008641-T1, TFCN17334Y5_013238-T1, TFCN17334Y5_000369-T1, TFCN17334Y5_014650-T1, TFCN17334Y5_014042-T1, TFCN17334Y5_014646-T1, TFCN17334Y5_014041-T1
GF00000048	TFCN17334Y5_002654-T1, TFCN17334Y5_005859-T1, TFCN17334Y5_009969-T1, TFCN17334Y5_014227-T1, TFCN17334Y5_005438-T1, TFCN17334Y5_003799-T1, TFCN17334Y5_007045-T1, TFCN17334Y5_011165-T1
GF00000049	TFCN17334Y5_013520-T1, TFCN17334Y5_010825-T1, TFCN17334Y5_001205-T1, TFCN17334Y5_001883-T1, TFCN17334Y5_003140-T1, TFCN17334Y5_005612-T1, TFCN17334Y5_013813-T1, TFCN17334Y5_010230-T1
GF00000050	TFCN17334Y5_000261-T1, TFCN17334Y5_000654-T1, TFCN17334Y5_001222-T1, TFCN17334Y5_001903-T1, TFCN17334Y5_011484-T1, TFCN17334Y5_012463-T1, TFCN17334Y5_002438-T1, TFCN17334Y5_014056-T1
GF00000051	TFCN17334Y5_010884-T1, TFCN17334Y5_010893-T1, TFCN17334Y5_000077-T1, TFCN17334Y5_010883-T1, TFCN17334Y5_000067-T1, TFCN17334Y5_000068-T1, TFCN17334Y5_000075-T1, TFCN17334Y5_000076-T1
GF00000052	TFCN17334Y5_012141-T1, TFCN17334Y5_008702-T1, TFCN17334Y5_012139-T1, TFCN17334Y5_008704-T1, TFCN17334Y5_001537-T1, TFCN17334Y5_012021-T1, TFCN17334Y5_012132-T1, TFCN17334Y5_008714-T1
GF00000053	TFCN17334Y5_012384-T1, TFCN17334Y5_010694-T1, TFCN17334Y5_003184-T1, TFCN17334Y5_004910-T1, TFCN17334Y5_014497-T1, TFCN17334Y5_004911-T1, TFCN17334Y5_014548-T1, TFCN17334Y5_010690-T1
